Player,Team,Position,Height,Weight
Tony Amonte ,1994,RW,72,202
Glenn Anderson ,1994,RW,73,190
Phil Bourque ,1994,LW,73,196
Mike Gartner ,1994,RW,72,190
Greg Gilbert ,1994,LW,73,195
Adam Graves ,1994,LW,72,205
Mike Hartman ,1994,LW,72,190
Jim Hiller ,1994,RW,72,190
Mike Hudson ,1994,C,74,205
Joey Kocur ,1994,RW,72,222
Alex Kovalev ,1994,RW,74,222
Nick Kypreos ,1994,LW,72,210
Daniel Lacroix ,1994,C,74,205
Steve Larmer ,1994,RW,71,195
Craig MacTavish ,1994,C,73,200
Todd Marchant ,1994,C,70,180
Stephane Matteau ,1994,LW,76,220
Mark Messier ,1994,C,74,211
Sergei Nemchinov ,1994,LW,73,205
Brian Noonan ,1994,RW,73,200
Eddie Olczyk ,1994,RW,73,207
Esa Tikkanen ,1994,LW,73,200
Darren Turcotte ,1994,C,72,190
Peter Andersson ,1994,D,72,196
Jeff Beukeboom ,1994,D,77,230
Alexander Karpovtsev ,1994,D,75,221
Brian Leetch ,1994,D,72,190
Doug Lidster ,1994,D,73,200
Kevin Lowe ,1994,D,74,200
Joby Messier ,1994,D,73,207
Mattias Norstrom ,1994,D,74,210
James Patrick ,1994,D,74,198
Jay Wells ,1994,D,73,210
Sergei Zubov *,1994,D,73,198
Glenn Healy ,1994,G,68,195
Mike Richter ,1994,G,70,190
Lias Andersson ,2018,C,73,204
Matt Beleskey ,2018,LW,72,207
Pavel Buchnevich ,2018,RW,75,196
Paul Carey ,2018,C,73,200
Daniel Catenacci ,2018,C,70,193
Filip Chytil ,2018,C,74,208
Adam Cracknell ,2018,RW,75,209
David Desharnais ,2018,C,67,180
Jesper Fast (A),2018,RW,73,192
Steven Fogarty ,2018,C,75,210
Michael Grabner ,2018,RW,73,188
Kevin Hayes ,2018,C,77,216
Peter Holland ,2018,C,74,193
Chris Kreider (A),2018,LW,75,216
Vinni Lettieri ,2018,C,71,191
Cody McLeod ,2018,LW,74,204
J.T. Miller ,2018,C,73,218
Vladislav Namestnikov ,2018,C,72,184
Rick Nash ,2018,LW,76,211
Boo Nieves ,2018,C,75,210
Ryan Spooner ,2018,C,71,191
Jimmy Vesey ,2018,LW,75,199
Mika Zibanejad (A),2018,C,74,213
Mats Zuccarello (A),2018,RW,68,184
Tony DeAngelo ,2018,D,71,180
John Gilmour ,2018,D,72,190
Nick Holden ,2018,D,76,214
Steven Kampfer ,2018,D,71,198
Ryan McDonagh ,2018,D,73,215
Rob O'Gara ,2018,D,76,214
Neal Pionk ,2018,D,72,186
Kevin Shattenkirk ,2018,D,72,206
Brady Skjei ,2018,D,75,214
Brendan Smith ,2018,D,74,195
Ryan Sproul ,2018,D,76,205
Marc Staal (A),2018,D,76,213
Alexandar Georgiev ,2018,G,73,179
Brandon Halverson ,2018,G,76,210
Henrik Lundqvist ,2018,G,73,180
Ondrej Pavelec ,2018,G,75,212
